[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.001317s ]
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000845s ]
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.001051s ]
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004904s ]
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | INFO: Tag[ view_end ] --START--
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000939s ]
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001006s ]
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001757s ]
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001900s ]
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login/verify | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000815s ]
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000904s ]
[ 2018-02-18T11:31:33+08:00 ] /admin.php/Login | INFO: Tag[ route_check ] --START--
[ 2018-02-18T11:31:33+08:00 ] /admin.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.001132s ]
[ 2018-02-18T11:31:33+08:00 ] /admin.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001214s ]
[ 2018-02-18T11:31:33+08:00 ] /admin.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2018-02-18T11:31:33+08:00 ] /admin.php/Login | INFO: Tag[ app_begin ] --START--
[ 2018-02-18T11:31:33+08:00 ] /admin.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000834s ]
[ 2018-02-18T11:31:33+08:00 ] /admin.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000943s ]
[ 2018-02-18T11:31:33+08:00 ] /admin.php/Login | INFO: Tag[ view_template ] --START--
[ 2018-02-18T11:31:33+08:00 ] /admin.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.003139s ]
[ 2018-02-18T11:31:33+08:00 ] /admin.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.003552s ]
[ 2018-02-18T11:31:33+08:00 ] /admin.php/Login | INFO: Tag[ view_parse ] --START--
[ 2018-02-18T11:31:33+08:00 ] /admin.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-02-18T11:31:33+08:00 ] /admin.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T11:31:33+08:00 ] /admin.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T11:31:33+08:00 ] /admin.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T11:31:33+08:00 ] /admin.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T11:31:33+08:00 ] /admin.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T11:31:33+08:00 ] /admin.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T11:31:33+08:00 ] /admin.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T11:31:33+08:00 ] /admin.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
